code,name,strategy,entry_date,entry,exit_date,exit,pnl,r
1519,,K,2025-10-29,622.62,2026-01-07,735.48,108.72,1.7462
1519,,L,2025-10-29,622.62,2026-01-07,735.48,108.72,1.4551
1303,,K,2025-11-12,46.10,2026-03-23,74.63,28133.34,6.1032
1303,,L,2025-11-12,46.10,2026-03-23,74.63,14066.67,5.0860
1303,,D,2025-11-12,46.10,2026-03-23,74.63,28133.34,7.6290
3037,,K,2025-12-02,200.20,2026-01-07,240.00,6806.09,1.9207
3037,,L,2025-12-02,200.20,2026-01-07,240.00,4652.75,1.6006
3037,,D,2025-12-02,200.20,2026-01-07,240.00,7305.97,2.4009
6667,,D,2025-12-11,270.27,2026-01-26,255.24,-16.54,-0.7650
5309,,D,2025-12-11,68.33,2026-01-29,64.03,-4686.35,-0.8573
1608,,D,2025-12-15,37.69,2026-02-02,34.64,-6513.33,-1.0801
6603,,D,2025-12-16,26.53,2026-01-09,31.92,2606.26,2.4563
6603,,D,2025-12-16,26.53,2026-01-29,26.50,-90.79,-0.0856
6425,,K,2025-12-18,89.99,2026-01-09,80.91,-5605.82,-1.0630
6425,,L,2025-12-18,89.99,2026-01-21,79.11,-4553.87,-1.0516
6425,,D,2025-12-18,89.99,2026-01-02,82.71,-4790.14,-1.0801
5351,,D,2025-12-29,43.89,2026-01-02,52.62,8430.71,2.4009
5351,,D,2025-12-29,43.89,2026-03-03,54.06,9864.27,2.8091
4973,,K,2025-12-31,38.79,2026-01-08,46.50,7449.67,1.9207
4973,,K,2025-12-31,38.79,2026-02-06,41.31,2290.03,0.5904
4973,,L,2025-12-31,38.79,2026-01-08,46.50,7449.67,1.6006
4973,,L,2025-12-31,38.79,2026-02-06,41.31,2290.03,0.4920
4749,,K,2026-01-02,889.14,2026-02-06,799.42,-94.52,-1.0630
4749,,L,2026-01-02,889.14,2026-02-06,805.16,-88.81,-0.8323
3715,,D,2026-01-02,128.13,2026-01-06,117.76,-10341.05,-1.0801
3707,,PA,2026-01-05,54.05,2026-02-06,54.46,90.46,0.0167
3707,,PB,2026-01-05,54.05,2026-02-06,54.46,90.46,0.0167
3016,,K,2026-01-06,58.06,2026-01-21,69.60,5575.61,1.9207
3016,,K,2026-01-06,58.06,2026-02-06,55.64,-1371.33,-0.4724
3016,,D,2026-01-06,58.06,2026-01-21,69.60,5575.61,2.4009
3016,,D,2026-01-06,58.06,2026-02-02,58.00,-198.72,-0.0856
8103,,K,2026-01-23,101.60,2026-01-29,91.35,-10800.60,-1.0630
8103,,L,2026-01-23,101.60,2026-01-29,89.32,-9757.25,-1.0516
2489,,D,2026-02-11,25.88,2026-02-24,32.72,9989.63,3.2172
2489,,D,2026-02-11,25.88,2026-04-27,36.43,15540.87,5.0049
3189,,D,2026-02-26,325.32,2026-03-04,299.00,-28.11,-1.0801
2454,,D,2026-03-02,1946.94,2026-03-04,1758.24,-199.26,-1.2793
4130,,D,2026-03-06,34.93,2026-03-10,32.11,-3018.79,-1.0801
6291,,D,2026-03-16,348.17,2026-03-17,320.00,-30.09,-1.0801
3028,,K,2026-03-19,57.76,2026-03-23,51.93,-3628.65,-1.0630
3028,,L,2026-03-19,57.76,2026-03-31,50.05,-3228.66,-1.1559
3028,,D,2026-03-19,57.76,2026-03-23,52.25,-3657.16,-1.2603
2329,,D,2026-03-20,62.66,2026-03-23,57.59,-3135.17,-1.0801
6139,,K,2026-03-25,659.66,2026-03-26,593.10,-70.12,-1.0630
6139,,L,2026-03-25,659.66,2026-03-27,568.43,-94.68,-1.1961
6139,,D,2026-03-25,659.66,2026-03-26,606.28,-57.00,-1.0801
8155,,K,2026-04-10,323.82,2026-06-05,369.54,43.62,1.3470
8155,,L,2026-04-10,323.82,2026-06-05,369.54,43.62,1.1225
8155,,D,2026-04-10,323.82,2026-06-05,369.54,43.62,1.6838
5515,,D,2026-04-13,41.19,2026-05-11,37.86,-3559.41,-1.0801
4577,,K,2026-04-15,144.64,2026-04-23,176.82,6269.18,2.1563
4577,,K,2026-04-15,144.64,2026-05-15,130.05,-3090.62,-1.0630
4577,,L,2026-04-15,144.64,2026-04-23,176.82,4210.64,1.7969
4577,,L,2026-04-15,144.64,2026-05-18,127.16,-2482.47,-1.0516
4577,,D,2026-04-15,144.64,2026-04-17,132.94,-5337.08,-1.0801
8210,,D,2026-04-15,987.99,2026-06-24,1296.26,301.13,3.8099
8150,,D,2026-04-16,69.27,2026-05-05,83.04,5933.83,2.4009
8103,,D,2026-04-21,100.10,2026-04-28,122.38,6629.15,2.6965
8103,,D,2026-04-21,100.10,2026-05-18,100.00,-210.37,-0.0856
6727,,D,2026-04-23,500.50,2026-04-24,419.58,-83.49,-2.0852
3010,,K,2026-04-24,144.64,2026-05-13,130.05,-6211.99,-1.0630
3010,,L,2026-04-24,144.64,2026-05-15,127.16,-4964.93,-1.0516
3010,,D,2026-04-24,144.64,2026-04-27,132.94,-5312.08,-1.0801
2236,,PB,2026-05-05,138.64,2026-06-12,131.87,-2333.44,-0.5447
2236,,D,2026-05-05,138.64,2026-06-12,127.42,-6397.33,-1.0801
2360,,D,2026-05-07,2532.53,2026-05-08,2322.68,-223.74,-1.1043
